Average Household Income After Taxes,neighbourhood_PK
84163,137
79185,119
76983,133
175773,114
54624,76
82242,37
57082,155
62405,51
62096,128
59434,123
66697,50
199378,62
69513,69
83263,120
77040,36
60703,33
61524,8
78737,94
144418,146
57703,25
63156,150
77541,121
86744,144
80527,142
52914,109
117830,56
327638,57
87898,23
59852,132
96836,101
76669,147
86327,53
56645,34
62023,78
56354,35
56342,81
67766,149
198998,141
105023,74
108226,115
157696,54
227374,55
169558,129
68551,138
71623,124
60082,27
54492,73
113252,59
63969,139
46194,68
70307,131
84171,98
90234,89
163296,145
64800,151
58395,77
72231,102
58858,24
94712,140
64886,71
121388,93
50262,130
57242,110
61559,26
71699,154
60308,118
52849,75
76777,148
74266,96
80706,64
110037,58
70717,122
