location_PK,DIVISION,LONG_WGS84,LAT_WGS84
1,D43,-79.1329153478869,43.7804125709689
2,D42,-79.1803868891903,43.8062893908425
3,D53,-79.3466150216221,43.7032343898983
4,D32,-79.4765788261828,43.7643166532756
5,D14,-79.4167180277593,43.6551149997848
6,D32,-79.4062233357913,43.7276809740355
7,D43,-79.174030508219,43.7613951184015
8,D43,-79.2361188363498,43.7218272951885
9,D33,-79.3067535664125,43.7346540393633
10,D14,-79.4019833326708,43.6475977873627
11,D41,-79.283879164896,43.6922287267103
12,D31,-79.4838692517313,43.7343687543943
13,D55,-79.3381385059127,43.6751404688049
14,D52,-79.3790877444954,43.6459171850208
15,D55,-79.3416833854294,43.6650105279866
16,D52,-79.3907863389194,43.649125388229
17,D53,-79.3841910505493,43.6708037100493
18,D32,-79.4254119721824,43.7574644797595
19,D53,-79.3912651471349,43.6711286116472
20,D14,-79.4127980292092,43.6509278942978
21,D52,-79.3864466409217,43.6508852899889
22,D52,-79.3923131372375,43.6460378851415
23,D43,-79.2352555230338,43.7577169912095
24,D13,-79.4223710327978,43.6738417211567
25,D14,-79.415594028346,43.6549463992482
26,D31,-79.5096433192454,43.7604764866434
27,D51,-79.3841370470296,43.6638992030029
28,D32,-79.4145964643991,43.7716951914715
29,D43,-79.213622468473,43.7686991071585
30,D14,-79.4366521226588,43.6629682142894
31,D51,-79.3502127662457,43.6462886853923
32,D13,-79.4557698128996,43.6777746164058
33,D22,-79.5521446854418,43.6099692017367
34,D14,-79.4385836204709,43.6366580841751
35,D14,-79.4109939296673,43.6496857924206
36,D11,-79.4372698209088,43.6473393960888
37,D41,-79.2621234083973,43.7223031942191
38,D54,-79.3090015531075,43.7087078852371
39,D51,-79.3764552527249,43.6664257055294
40,D54,-79.3448688032808,43.678933869599
41,D54,-79.307120852104,43.700895401613
42,D22,-79.4961475350639,43.6108438963299
43,D32,-79.4317300847754,43.7761757489769
44,D14,-79.427105224297,43.642516787878
45,D12,-79.4802687965012,43.6833245058269
46,D14,-79.4117914347889,43.6666231112735
47,D41,-79.2810965997869,43.7658207401583
48,D13,-79.4380300113158,43.6854513930098
49,D51,-79.3686208577637,43.6658735049772
50,D53,-79.4000833426357,43.7054664049601
51,D31,-79.5005771133397,43.7622397741196
52,D52,-79.3830173418757,43.6466026857063
53,D43,-79.2542411407459,43.7766362676131
54,D32,-79.421662720129,43.7923291095996
55,D31,-79.5137724430298,43.7198131464395
56,D52,-79.3863740443772,43.6581790972829
57,D14,-79.4378971206997,43.6403407888565
58,D51,-79.3632111580376,43.6558758949796
59,D52,-79.3831609442188,43.6543189934227
60,D54,-79.2916339623115,43.6961067165384
61,D41,-79.2867250682331,43.7001000127995
62,D33,-79.3580628364119,43.7919573415765
63,D43,-79.1939176031183,43.7601957933278
64,D53,-79.4020055402277,43.6683891109392
65,D22,-79.5296917052301,43.6189876087985
66,D55,-79.3575620795158,43.6747910341175
67,D12,-79.5161924523711,43.7001545651709
68,D14,-79.4184244289321,43.6635604088058
69,D41,-79.2518303008822,43.7052879191856
70,D52,-79.3928432373344,43.6473175864212
71,D22,-79.5651008839476,43.6580285225378
72,D54,-79.3482561199249,43.6936278047032
73,D42,-79.2965858081612,43.8012636274022
74,D53,-79.3869410697636,43.7003347422255
75,D54,-79.3255081361878,43.6908209160971
76,D52,-79.3942335387789,43.6548107944083
77,D12,-79.5050425436361,43.7073653479291
78,D32,-79.4152931507629,43.7787433961406
79,D54,-79.3006179542788,43.6944140148806
80,D12,-79.4862854885326,43.686292594921
81,D41,-79.2738776025152,43.7308409741099
82,D43,-79.2062872962484,43.7855564960168
83,D11,-79.4587584231452,43.6685990435469
84,D14,-79.4205324264879,43.638305880956
85,D14,-79.3956427347843,43.6400206791244
86,D33,-79.3209136681278,43.7593621211978
87,D33,-79.384036017431,43.765387889106
88,D22,-79.5541944832781,43.6417751131588
89,D43,-79.2393141581579,43.7405958794943
90,D53,-79.3909145470213,43.6703223105339
91,D43,-79.2218329457262,43.7666653227052
92,D41,-79.2526444235732,43.7274444881009
93,D55,-79.3421558859404,43.6661424306938
94,D41,-79.2986157677257,43.7228380613655
95,D54,-79.3343017300264,43.7100122759791
96,D43,-79.2088346263305,43.763352995965
97,D33,-79.3705565254795,43.7717256973184
98,D54,-79.3498701025786,43.6825135751571
99,D33,-79.3528665363187,43.7839021168604
100,D32,-79.4410149550129,43.7201236567061
101,D41,-79.2895310968096,43.7589601379938
102,D53,-79.3874560494856,43.6719289119
103,D51,-79.3727432515925,43.6556047947085
104,D41,-79.2767718181679,43.7456716609996
105,D14,-79.407706732919,43.6564703983052
106,D55,-79.2980082493702,43.678902331018
107,D22,-79.5495738935254,43.6575173612323
108,D22,-79.520170489868,43.6002167933707
109,D12,-79.500535643581,43.7112701464396
110,D32,-79.4093504075299,43.7603403880244
111,D11,-79.4554051148638,43.6516764070289
112,D51,-79.3809129463861,43.6563247954285
113,D43,-79.1317407759341,43.7924196581755
114,D41,-79.2787035735249,43.6999964172012
115,D41,-79.301902171505,43.7707986207237
116,D22,-79.5088466195156,43.6249662775981
117,D41,-79.294718196168,43.7453721437183
118,D54,-79.3296419327201,43.715307564441
119,D14,-79.4311044237801,43.6607845102564
120,D13,-79.441613206874,43.6865025890122
121,D51,-79.3804934494389,43.6646441037478
122,D32,-79.4143728571015,43.7751522949519
123,D51,-79.3685260565488,43.662039301143
124,D13,-79.4482317759842,43.7007285598956
125,D33,-79.343746456519,43.7758819156433
126,D13,-79.4473049856385,43.6963320656177
127,D53,-79.386119858288,43.7274635903361
128,D22,-79.5607992839183,43.6378591130359
129,D14,-79.4159202280253,43.6390320808348
130,D13,-79.4486308170399,43.676776516982
131,D52,-79.3967980354919,43.6500788891982
132,D54,-79.3137964433888,43.6881006204918
133,D42,-79.2739254273399,43.813557488115
134,D12,-79.5059308940438,43.676097619766
135,D14,-79.424114025294,43.6376098807647
136,D41,-79.3175581715835,43.7630380223097
137,D23,-79.595344363765,43.7442990681761
138,D43,-79.2440715068066,43.7639693856949
139,D33,-79.3275523325367,43.7266406369055
140,D42,-79.2171454721827,43.8042898964173
141,D23,-79.5124513821846,43.6855201930752
142,D11,-79.4527532210477,43.6663203318265
143,D53,-79.4211631098962,43.7091591716201
144,D11,-79.4353550215471,43.644197892309
145,D43,-79.1469076360535,43.7783028764409
146,D13,-79.419209531446,43.6853987135471
147,D42,-79.3030231005993,43.8072203464392
148,D22,-79.5319433949728,43.6452415722413
149,D42,-79.2171127870889,43.8148570484849
150,D52,-79.3824117428642,43.6517566908603
151,D42,-79.3262014042142,43.8117805369722
152,D31,-79.5132098896586,43.7393845436018
153,D43,-79.248540057195,43.7484315761353
154,D54,-79.2970689586945,43.6982489104435
155,D22,-79.538180932662,43.5934137709677
156,D55,-79.2960625556678,43.6894701239059
157,D14,-79.4139616286781,43.6386707802279
158,D52,-79.3788126446788,43.6489561880598
159,D31,-79.5156277119245,43.7491455782629
160,D22,-79.5305465951666,43.6467588846776
161,D12,-79.5071721429953,43.7154315464395
162,D33,-79.3263162492549,43.7416777187838
163,D41,-79.2827563906227,43.7279392674256
164,D33,-79.3377831556354,43.7874348357758
165,D51,-79.3721949563986,43.6676352069557
166,D12,-79.4871771411694,43.7148039470612
167,D53,-79.3772548786573,43.712065035134
168,D11,-79.4776660193722,43.65081995131
169,D33,-79.3443936128255,43.734280411658
170,D42,-79.2862806162469,43.8037472432393
171,D53,-79.3874030485952,43.6701046097676
172,D32,-79.4504152349232,43.7819389215074
173,D11,-79.4370618209781,43.6552164056345
174,D43,-79.1994609085625,43.7654416916803
175,D43,-79.1408896644095,43.7897142630234
176,D31,-79.5042042111536,43.7664090799155
177,D51,-79.3732238506455,43.6537247928285
178,D22,-79.5349829715672,43.5891155606321
179,D42,-79.3023463002448,43.8084559525244
180,D14,-79.4223790258723,43.6434863874626
181,D14,-79.4187692270756,43.6544500994835
182,D23,-79.5994437678957,43.7309796694822
183,D31,-79.5136530966183,43.7412352570839
184,D42,-79.2147161671502,43.8006088929981
185,D11,-79.4500264192311,43.6659851243718
186,D22,-79.4995845242967,43.6191018983419
187,D32,-79.4489113139069,43.7175130572693
188,D33,-79.3892784961252,43.7752973938864
189,D52,-79.3843685447556,43.6573087964126
190,D51,-79.373847347989,43.6486284877321
191,D31,-79.5371332965099,43.7414284747185
192,D52,-79.3998210405627,43.66751210934
193,D55,-79.3451824831299,43.6670942268827
